name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State/Province,Receiving Facility Zip/Mailing Code,Receiving Facility Country,latitude,longitude,id
CLEAN HARBORS CANADA INC,RR#1 4090 TELFER SIDE ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
CLEAN HARBORS CANADA INC,4090 TELFER ROAD RR#1,CORUNNA,ONTARIO,N0N1C0,CANADA,42.8785,-82.30195,CLE42
CLEAN HARBORS MERCIER INC,1294 BOUL STE-MARGUERITE,MERCIER,QUEBEC,J6R2L1,CANADA,45.2893778,-73.7372896,CLE45
CLEAN HARBORS CANADA INC,4090 TEFLER SIDE ROAD,CORUNNA,ONTARIO,N0N1G0,CANADA,42.8785,-82.30195,CLE42
TOXCO WASTE MANAGEMENT,384 HIGHWAY 22A,TRAIL,BRITISH COLUMBIA,V1R2Y-8,CANADA,49.10009,-117.66012,TOX49
CRI ENVIRONMENT INC,75 RUE DU PROCESS,COTEAU-DU-LAC,QUEBEC,J0P1B0,CANADA,,,CRI
STABLEX,700 BOUL INDUSTRIAL,BLAINVILLE,QUEBEC,J7C3V4,CANADA,,,STA
"CLEAN HARBORS CANADA, INC",RR#1 (TELFER ROAD) ,CORUNNA,ONTARIO,N0N1C0,CANADA,,,CLE
CRI ENVIRONMENT INC,75 DU PROGRESS STREET,COTEAU-DU-LAC,QUEBEC,J0P1B0,CANADA,45.29627,-74.20416,CRI45
CLEAN HARBORS CANADA INC,2KM N OF HWY 14 ON SECONDARY ROAD 854,RYLEY,ALBERTA,T0B4A0,CANADA,,,CLE
CRI ENVIRONMENT,75 RUE DU PROGRESS,COTEAU-DU-LAC,QUEBEC,70P1B0,CANADA,45.29627,-74.20416,CRI45
