title,meal,location,season,speciality,url,text,pubdate,author,veg,vegan,GF
1/4 tsp. kosher salt, or more, to taste 
Freshly ground pepper, to taste  

Preheat an oven to 425ÁF. Line a large baking sheet with aluminum foil. Lightly coat the foil with the oil or spray with cooking spray. 

Cut off both ends of each squash. Halve lengthwise and scoop out and discard the seeds and strings. Turn the squash halves cut side down and cut each half crosswise into 4 or 5 slices, each about 1/2 inch thick. Arrange the slices in a single layer on the prepared baking sheet. Cover tightly with aluminum foil. Bake the squashes for about 15 minutes. 

Meanwhile, in a small bowl, whisk together the maple syrup, soy sauce and ginger. 

Remove the baking sheet from the oven and remove the foil. Brush half of the maple syrup mixture on the squash slices. Season with the salt and pepper. Return the baking sheet to the oven and bake, uncovered, for 10 minutes. Remove the baking sheet from the oven and turn the squash slices over. Brush them with the remaining maple syrup mixture. Return to the oven and bake until browned and tender when pierced with a knife, 5 to 10 minutes more. 

Transfer the squash slices to a warmed serving dish and serve immediately. Serves 4. ",,http://www.williams-sonoma.com/recipe/maple-and-soy-glazed-acorn-squash.html,yes,yes,no

Quince/Cranberry Chutney,Lunch or snack or something else,Wisconsin,fall,No,,"2 cups white sugar
1/2 teaspoon ground cloves
1/2 teaspoon ground allspice
1 teaspoon ground cinnamon
1/2 teaspoon salt
2 cups water
1 pound quinces - peeled, cored, and diced
1 orange, zested (optional)
1/2 cup orange juice
2 tablespoons white wine vinegar
3 cups fresh or frozen cranberries

Stir the sugar, cloves, allspice, cinnamon, and salt together in a large saucepan. Stir in the water, then bring to a boil over high heat, stirring until the sugar dissolves. Add the quince, and reduce heat to low. Cook and stir until the quince have turned rose colored, 4 to 5 minutes.
Stir in the orange zest, orange juice, vinegar, and cranberries. Bring to a boil over high heat, then reduce heat to medium-low, and cook until the cranberries have burst and the chutney has thickened, about 20 minutes. Cool completely before serving.",,http://allrecipes.com/recipe/spicy-quince-and-cranberry-chutney/,yes,yes,yes

Cranberry Biscuits,Lunch or snack or something else,Wisconsin,fall,No,,,,0,yes,,

Roasted Brussel Sprouts and Delicata Squash,Lunch or snack or something else,Wisconsin,fall,No,,"1 large delicata squash (about 1 1/4 pound)
1 pound brussels sprouts, trimmed of ragged outer leaves and stem
3 large shallots, peeled, cut lengthwise in half or thirds
2 Tbsp olive oil
3 Tbsp pure maple syrup (divided 2 tbsp and 1 tbsp)
1 Tbsp apple cider vinegar
1 teaspoon Kosher salt (plus more to taste)
1/4 cup fresh pomegranate arils

Cut the delicata squash in half crosswise, and then in half again lengthwise. Use a metal spoon to scrape out the seeds and strings. Cut the squash into half rounds, about 1/2-inch thick.

Preheat oven to 400ÁF. Place the squash, brussels sprouts, and shallots into a large bowl and toss with 2 Tbsp olive oil. Sprinkle on 2 Tbsp of maple syrup and one Tbsp of cider vinegar, and toss to coat. Sprinkle with 1 teaspoon of kosher salt.

Spread a little olive oil over the bottom of a large baking sheet. Arrange the squash, brussels sprouts and shallots on the baking sheet in a single layer.

Roast at 400ÁF for 30 to 35 minutes, turning the vegetables over after the first 20 minutes. The squash should be lightly browned and the brussels sprouts well browned.

Remove from oven to a serving dish. Gently toss with fresh pomegranate arils and drizzle with the remaining 1 Tbsp maple syrup.",,http://www.simplyrecipes.com/m/recipes/maple_syrup_roasted_delicata_squash_and_brussels_sprouts/,yes,yes,yes

Creamy Carrot Casserole,Lunch or snack or something else,Wisconsin,fall,No,,"4 tablespoons unsalted butter (1/2 stick)
2 pounds carrots, cut on the bias into 1/4-inch-thick pieces
1 tablespoon kosher salt
1/2 teaspoon freshly ground black pepper
1 tablespoon all-purpose flour
1 1/2 cups heavy cream
3 medium garlic cloves, smashed
1 1/2 cups panko breadcrumbs

Heat the oven to 350ÁF and arrange a rack in the middle. Lightly coat a 2-quart casserole or 11-by-7-inch baking dish with butter, and set aside.

Heat 2 tablespoons of the butter in a large frying pan over medium-high heat. When foaming subsides, add carrots, salt, and pepper and cook, stirring occasionally, until carrots just start to brown, about 7 minutes.

Evenly sprinkle flour over carrots, stirring constantly. Cook until flour turns golden in color, about 1 to 2 minutes. Slowly pour in cream while constantly stirring, bring to a boil, then remove from heat.

Transfer to the prepared dish and cover with aluminum foil. Place in the oven and bake until cream is bubbling and carrots just give way when pierced with a knife, about 20 to 25 minutes.

Meanwhile, heat remaining 2 tablespoons butter in a medium frying pan over medium heat. When foaming subsides, add garlic and cook until butter just begins to brown, about 3 minutes.

Add breadcrumbs to the pan and season with salt and freshly ground black pepper. Stir occasionally until panko is lightly browned and toasted, about 5 minutes. Remove to a medium bowl and discard garlic.

When casserole is ready, remove foil and allow to sit for about 10 minutes. Sprinkle toasted breadcrumbs evenly over top before serving.",,http://www.chow.com/recipes/13499-creamy-carrot-casserole,yes,no,no

Hot Toddy,Drink,Wisconsin,fall,No,,"1 oz (2 tablespoons) bourbon
1 tablespoon mild honey
2 teaspoons fresh lemon juice
1/4 cup boiling-hot water

Put bourbon, honey, and lemon juice in a 6-ounce mug. Top off with hot water and stir until honey is dissolved.",,http://www.epicurious.com/recipes/food/views/Hot-Toddy-233821,yes,,

Danish Dark Bread,Lunch or snack or something else,Wisconsin,winter,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 307-308.

3 cups flour
_ cup butter, softened
1 cup sugar
1 cup molasses
1 tsp baking soda
1 cup strong coffee, cold
_ tsp salt
_ lb chopped raisin
_ lb currants

Brown flour in a shallow pan in a moderate oven (350F), watching carefully; cool and set aside.

Cream butter and sugar; add molasses and beat well. Dissolve baking soda in coffee and add to creamed mixture alternately with browned flour and salt. Stir in raisins and currants and blend well. Pour into greased and floured bread pan and bake at 350F for 1 _ hours _ or until done. Cool and wrap well and store for a few days to mellow the flavor.

(submitted by Mrs. Jean S. Hesse, Sheboygan. Her grandmotherês recipe was also known as Poor Manês Fruitcake. –Years ago” she noted, –thin slices of this cake were often served with strong cups of tea, diluted as Danes like it with milk and sugar.”
",,Flavors of WI,yes,no,no

Red Cabbage with Apples,Lunch or snack or something else,Wisconsin,winter,Yes,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 256.

1 medium red cabbage
1 or 2 tart apples
2 tbsp butter
1 onion, sliced
2 cups water
_ cup vinegar
_ cup sugar
_ tsp salt
_ tsp pepper
2 to 3 tbsp flour

Wash cabbage; drain and shred as for slaw. Wash, core, and peel apples; chop or cut coarsely. Melt butter and saute onions and apples a few minutes. Add water, vinegar, sugar, and salt and peper. Stir well, bring to a boil, and add cabbage. Simmer, covered, until tender, about 30 or 40 minutes. Just before serving, sprinkle flour on top and cook briefly to thicken.

egg nog
From: The Kentucky Housewife, Lettice Bryan, 1839, p. 408

6 eggs
1 cup rum
Quart of buttermilk
_ lb of powdered sugar
Nutmeg

Break six eggs, separating the whites from the yolks; beat the whites to a tiff froth, put the yolks in a bowl and beat them light. Stir into it slowly, that the spirits may cook the egg, half a pint of rum, or threegills of common brandy; add a quart of rich sweet milk [buttermilk] and half a pound of powered sugar; then stir in the egg froth, and finish by grating nutmeg on the top.",,Flavors of WI,yes,no,no

Lefse,Lunch or snack or something else,Wisconsin,spring,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 226.

5 large potatoes
_ cup heavy cream
3 tbsp melted butter
1 tsp salt
Flour

Potato pancakes can be made in many ways. Probably every cook who makes them has his or her special recipe that makes them just a bit different than the neighborês. Some recipes call for mashed potatoes, the best known of that variety being lefse. Some recipes submitted noted that the secret of making lefse was the same as for pie crusts: handling the dough as little as possible. Others call for kneading the thick batter until it is no longer sticky. The ingredients are minimal: mashed potatoes, salt, cream or condensed milk, and shortening.

Boil potatoes, peel, and put through a ricer. Add cream, butter, and salt. Cool. Add _ cup flour for each cup of mashed potatoes and mix until smooth.

For each lefse, form about _ cup of dough into a small ball. Roll out as thinly as possible on a floured board.

Bake on an ungreased lefse griddle over moderate heat (about 400F) until light brown. Turn and brown other side. Place on a cloth until cold. 

For serving, cut each lefse into four pieces. May be spread with butter or cinnamon and sugar.",,Flavors of WI,yes,no,no

Funeral potatoes,Lunch or snack or something else,Wisconsin,spring,No,,,,0,yes,,

nettle egg soup,Lunch or snack or something else,Wisconsin,spring,No,,,,#N/A,yes,,

Kale with Maple Syrup Salad,Lunch or snack or something else,Wisconsin,spring,No,,"For the Salad:
1 large bunch of kale (about 10 large leaves)
1 pomegranate
4 medium parsnips (about 1 pound)
2 Tbsp olive oil
3 Tbsp maple syrup
For the Dressing:
1/3 cup olive oil
1 clove garlic, finely minced
2 Tbsp maple syrup
2 Tbsp fresh-squeezed lemon juice
1 Tbsp apple cider vinegar
Salt and pepper, to taste
Optional Garnish:
2 Tbsp. freshly grated parmesan
3 Tbsp. toasted hazelnuts

Wash the parsnips and scrub if needed, no need to peel them. Slice lengthwise into pieces about 3 inches long and then cut those into quarters (or eights if the parsnips are big). Place them in a roasting pan with the 2 Tbsp olive oil and 2 Tbsp maple syrup and toss well. Roast them in a 375 F oven for about 35 to 40 minutes, or until tender inside and crispy golden on the outside. Remove from oven and allow to cool.

Place all the salad dressing ingredients in a jar, screw on the lid, and shake vigorously.

Cut away the stems from the kale leaves and discard them. Place the kale leaves on top of one another and shred finely. Place the shredded kale in a large salad bowl and toss with the vinaigrette. Let the kale rest for 30 minutes to absorb the dressing.

Deseed the pomegranate. Add the pomegranate seeds and the cooled roasted parsnip to your salad and toss.

If you wish (to kill Eric), garnish with toasted hazelnuts (simply place hazelnuts in a skillet on medium heat for about 5 minutes, stirring frequently so they don't burn) and freshly grated parmesan.",,http://www.pbs.org/food/kitchen-vignettes/kale-pomegranate-and-caramelized-parsnip-salad/,yes,yes,yes

Dandelion Jelly,Lunch or snack or something else,Wisconsin,spring,No,,"2 heaping cups of fresh dandelion petals (see note below - you'll need to gather about 4 cups whole flowers)
2 C boiling wter
1/4 C well-strained, clear lemon juice
4 C sugar
3 oz liquid pectin (Certo)
food coloring (optional)

NOTE: Look for fully opened flowers, the bigger the better, for ease of preparation. Of course do NOT use any dandelions that have been sprayed with fertilizers or pesticides!

We'll want just the dandelion petals for this - not the whole flower head. You'll get SOME green sepals (wow, botany class was a long time ago - hope that is the correct term!), and that's fine - but try to minimize the amount of ""green"" and have mainly yellow petals for your infusion. It works best if you hold the flower by the end near the stem, and trim the petals into a bowl or cup, with sharp kitchen scisscors. All the dandelion blossoms stained my fingers yellow!

Pour boiling water over petals and let steep from 30 minutes to 24
hours. I infused mine for about 2 hours - until the liquid was almost room temperature. Strain through a fine sieve, reserving the infusion. If not using immediately, refrigerate up to 24 hours.

Place jars and lids on rack in pan or stockpot deep enough to cover them with about two inches of water, bring to a boil, then reduce heat to a simmer, keeping the jars hot until ready to fill.

To make the jelly, stir lemon juice (I actually used lime, because that's what I had on hand, and it worked quite nicely!) and sugar into reserved infusion in a two-quart nonreactive or stainless steel pan. Bring to a full rolling boil that cannot be stirred down. Add the liquid pectin and continue to boil two minutes, skimming any foam that may rise to the surface.

As you can see - my infusion is NOT such a pretty color. I decided to add a bit of food coloring - about 20 drops of yellow. I've also seen people use green, but prefer the yellow. To me, Dandelion Jelly is honey-like, in flavor, so between that and the color of the blossoms, a yellow-colored jelly makes sense to me. :)

Ladle quickly into jars to within about 1/8 inch from the top; clean each rim and threads of the jar as it's filled, and place flat lid and ring on each before filling the next. Screw band on tightly and invert jar on tea towel for about five to 10 minutes. Jars should seal and lids should pop shut within 10 minutes as they cool. If they do not seal, you can place them in a hot water bath for 10 minutes or place in the refrigerator.
Sealed jars will last up to one year in a cool, dark place. Put any unsealed jelly in the refrigerator. it should keep about three weeks. Makes four or five half-pint jars.",,http://www.prairielandherbs.com/dandelionjelly.htm,yes,yes,yes

"Couscous, Asparagus, Pac Choi Cold Salad",Lunch or snack or something else,Wisconsin,spring,No,,"for the roasted veggies
1 pound crimini mushrooms, quartered
2 yellow summer squash, halved lengthwise and chopped into 1/2 inch-thick half-moons
1 pound fresh green beans (or purple or yellow beans), ends trimmed and chopped in half
3 cups small broccoli florets (stems can be included if desired)
olive oil spray
2 teaspoons tarragon
2 teaspoons thyme
salt and pepper to taste

for the bok choy and cabbage
1 teaspoon olive oil
2 shallots, thinly sliced
4-5 bunches baby bok choy, bulb end trimmed
1/2 head of red/purple cabbage, cored and thinly sliced
salt and pepper to taste

for the couscous
2 cups water
1/4 teaspoon salt
1 cup israeli couscous (or other grain)

for the lemon caper dressing
3 tablespoons lemon juice
2 tablespoons capers, drained
1 teaspoon dijon mustard
1 teaspoon olive oil (optional)
1/2 teaspoon dried dill


Preheat the oven to 400. Line two baking sheets with parchment paper. Spread the veggies out over the two baking sheets. Lightly spray them with olive oil (or drizzle with olive oil) and sprinkle the herbs. Add salt and pepper to taste. Toss to fully coat.
Roast in the oven for 20 minutes, flipping once halfway through. Remove from oven and set aside.

Once the veggies are in the oven, you can prepare the couscous. Bring the water to a boil in a large pot. Once it is boiling, add the salt then the couscous. Cover and remove from heat. Let sit for about 15 minutes before checking. At this point, the water should have cooked away and you can fluff the couscous with a fork. If there is still water, cover and let sit until water has cooked away (You may have to drain some of the water at the end). Let sit until ready to use.

Combine all of the dressing ingredients in a cup wide enough to fit an immersion blender. Use an immersion blender to puree the capers and blend all of the ingredients together until it is mostly smooth. If you do not have an immersion blender, you can use a blender, but you will likely have to scrape the sides several times until it is mostly smooth. Chill until ready to use.
cook the bok choy and cabbage

Heat the olive oil in a frying pan over medium heat. Add the shallots and saut_ for 2-3 minutes. Add the bok choy and cabbage and saut_ until just beginning to wilt. Add salt and pepper to taste and remove from heat.

Combine the veggies, the couscous, and the bok choy/cabbage mixture in a large bowl. Give it a couple stirs to incorporate the ingredients a little more. Pour the dressing over the salad (You may need to re-stir the dressing if it has separated at all) and mix until it is all fully combined. Serve immediately. You can make this a day or two ahead of time but you may want to reheat slightly before serving. Enjoy.",,http://vedgedout.com/2013/08/21/warm-bok-choy-and-roasted-veggie-couscous-salad-with-lemon-caper-dressing-guest-post-from-kristy-turner-at-keepin-it-kind/,yes,yes,no

fried plantains,Lunch or snack or something else,Wisconsin,spring,No,,,,0,yes,,

rhubarb and turnips and white wine vinegar,Lunch or snack or something else,Wisconsin,spring,No,,,,0,yes,,

creamed turnips,Lunch or snack or something else,Wisconsin,spring,No,,,,0,yes,,

grape leaves with lamb,Lunch or snack or something else,Wisconsin,spring,No,,,,#N/A,yes,,

"strawberry, scallion, goat cheese sandwich",Lunch or snack or something else,Wisconsin,summer,No,,,,Women's Health,yes,,

tamarind lime gin cocktail,Lunch or snack or something else,Wisconsin,summer,No,,,,0,yes,,

zuke fritters,Lunch or snack or something else,Wisconsin,summer,No,,,,#N/A,yes,,

sourdough whole wheat pizza dough,Lunch or snack or something else,Wisconsin,summer,No,,,,#N/A,yes,,

Sourdough Anadama,Lunch or snack or something else,Wisconsin,summer,No,,"Sourdough: 1 cup quite wet sourdough starter
1/4 - 1/2 cup water
2 1/4 C hard whole wheat flour
some salt

Starter:
Start with 2 cups of fresh ground, cooled, whole wheat flour and 2 1/2 cups of cool filtered water. Mix in a stainless steel or glass bowl, cover with a damp cloth and place in a cool, dark room. The next day, pour this mixture into a clean bowl and mix in 2 cups flour and 2 cups water. Store as before and repeat this ""cleaning"" and ""feeding"" cycle for seven days. After the seventh day the mixture can be stored in the refrigerator and ""cleaned"" just once a week and ""fed"" only when you use some of the starter for baking. For instance, when 8 cups of starter is used add 4 cups flour and 4 cups water back into the original starter, mix well and return it to the refrigerator.",,http://user.xmission.com/~total/temple/Soapbox/Articles/sourdough.html,yes,yes,no

Red Cabbage Ginger Kraut,Lunch or snack or something else,Wisconsin,summer,No,,"4 (24-ounce) or 3 (32-ounce) glass canning jars with metal seals and lids
1 medium head red cabbage
4 inches fresh ginger, peeled and grated
1 tablespoon unpasteurized miso paste
Salt, to taste

To sterilize jars: Wash jars, metal seals, and lids in soapy water, then rinse. In a deep stock pot or pressure cooker, cover the jars with enough water so they are completely covered. Bring to a boil, and sanitize for 10 minutes. Turn off heat and remove jars, seals, and lids. Allow everything to cool while preparing the salad.

To prep sauerkraut: Remove six outer leaves from the cabbage and set aside, intact. With the remaining cabbage, shred in a food processor or on a box shredder. In a large mixing bowl, combine shredded cabbage and ginger.

In a blender, blend 4 cups of water with miso paste until smooth. Stir into bowl with shredded cabbage until well mixed. Divide cabbage and liquids between the cooled, sterilized glass jars. Use a wooden spoon to tightly pack in the cabbage. Leave at least 2 inches of room at the top of each jar (it will expand as it ferments). Tightly roll up the outer cabbage leaves and place them inside the jars to fill the 2-inch spaces. Wipe the outer neck of the jars clean with hot water to clean up any spillage. Screw lids tightly onto jars.

To ferment: Place jars in a cool, dark spot in the pantry for 5 days. The room temperature should be 65_F to 70_F. If it is slightly colder, wrap a towel around each jar. Bubbling in the jars is a sign that the jars are fermenting properly. After 5 days, remove the outer cabbage leaves and discard. Transfer the jars to the refrigerator (to slow down the fermentation process). Once cool, unscrew the lids, salt each jar to taste, and enjoy. Once the seal has been broken on each jar, the salad will keep refrigerated for up to 1 month.",,http://www.yumsugar.com/Homemade-Sauerkraut-31913682,yes,yes,yes

Baba Ganoush,Lunch or snack or something else,Wisconsin,summer,No,,"3 medium Italian eggplants (about 2 pounds total)
3 medium cloves of garlic, minced
2 tablespoons juice from 1 lemon, plus more as desired
3 tablespoons tahini
1/3 cup extra-virgin olive oil, plus more for serving
1/4 cup chopped fresh parsley leaves
Kosher salt

1. If using a gas burner or grill (recommended): Preheat a gas or coal grill to medium heat and place eggplants directly over heat source. Cook, turning occasionally with tongs, until completely tender and well charred on all sides, 30 to 40 minutes. Wrap with foil and let rest 15 minutes. Continue to step 3.

2. If using the broiler: Adjust rack to 6 inches below broiler element and preheat broiler to high. Place eggplant on a foil-lined rimmed baking sheet. Broil, turning occasionally, until charred on all sides and completely tender, about 1 hour. Eggplants should be very, very tender when cooked. Test near the stem and bottom ends. If a toothpick or skewer meets any resistance, continue cooking. (See note above.) Remove from oven and gather up foil, crimping it around the eggplants to form a sealed package. Let the eggplants rest for 15 minutes. Continue to step 3.

3. Open foil package. Working one eggplant at a time, use a sharp paring knife to slit it open lengthwise. Carefully scoop out soft flesh with a large spoon and transfer to a strainer set in a large bowl. Once all eggplant is scooped, pick out any stray bits of skin and blackened flesh and discard.

4. Transfer eggplant to a salad spinner, distributing it evenly around the perimeter. Spin gently until all excess moisture is extracted. Discard all drippings, wipe out bowl. and return eggplant to bowl.

5. Add garlic and lemon juice to eggplant and stir vigorously with a fork until eggplant breaks down into a rough paste, about 1 1/2 minutes. Stirring constantly and vigorously, add the tahini followed by the olive oil in a thin, steady stream. The mixture should become pale and creamy. Stir in parsley and season to taste with salt and more lemon juice if desired.

6. Transfer to a serving bowl, drizzle with olive oil, and serve with warm pita bread or vegetables for dipping. Baba ganoush can be stored in an airtight container in the refrigerator for up to four days. Let baba ganoush warm to room temperature before serving.",,http://www.seriouseats.com/recipes/2014/02/the-best-baba-ganoush-recipe.html,yes,yes,yes

"hummus, falalfel",Lunch or snack or something else,Wisconsin,summer,No,,,,#N/A,yes,,

cucumber sandwich,Lunch or snack or something else,Wisconsin,summer,No,,,,0,yes,,

Cuke Mint Yogurt,Lunch or snack or something else,Wisconsin,summer,No,,"3 medium cucumbers, peeled, seeded, diced
1 1/2 teaspoons salt
1 tablespoon fresh mint, minced
1 garlic clove, minced
1 teaspoon dried oregano
1 8-ounce container plain yogurt
2 tablespoons whipping cream
Pepper

Place cucumbers in colander. Sprinkle with salt. Let stand 15 minutes. Rinse cucumbers. Drain on paper towels. Combine mint, garlic, and oregano in large bowl. Stir in yogurt and cream. Add cucumber and stir to coat. Season with pepper. Refrigerate until chilled. (Can be prepared 5 hours ahead.)",,http://www.epicurious.com/recipes/food/views/cucumber-yogurt-salad-with-mint-2353,yes,no,yes

lavender lemonade,Lunch or snack or something else,Wisconsin,summer,No,,,,0,yes,,

Kale Salad,Lunch or snack or something else,Wisconsin,summer,Yes,,"Kale, leaves removed from stems – 1_ bunches
Lemon juice – 2 tbs.
