latitude,longitude,latlng,google_maps,title,Category,icon_image,Subcatid,Subcatname,Short_Desc,Long_Desc,Address1,Address2,City,State,Country,Zip,Neighborhood,Phone,Url,Open Hours,Wcities Url,lres_image,lres_image_2,High Res Image Url
25.759469,-80.192351,"25.759469, -80.192351","<a href=""https://www.google.com/maps/dir/Current+Location/25.759469, -80.192351"" target=""_blank"">Get directions</a>",14-thirty-Five,Restaurants,images/food-beverages.png,"170,158","Tapas,Contemporary",Jazz Lounge Bar,"14-thirty-Five in the Four Seasons Hotel Miami is a popular hangout among executives of Downtown Miami. Located off the main lobby at the seventh floor of the hotel, it caters to those who choose to relax after a hard day of work with great martinis and live jazz music. Tea is served from 3p to 6p with cakes, scones and herbal infusion teas for those who like their share of exotic tea. Sushi is also served in the evenings. Live bands play Wednesday through Friday which makes for great entertainment.",1435 Brickell Avenue,Four Seasons Hotel Miami,Miami,FL,United States,33131,Downtown Miami,+1 305 358 3535,http://www.fourseasons.com/miami/dining/14_thirty_five.html,"Mo to Su from 03:00 PM to 06:00 PM,Mo to Su from 04:00 PM to 11:30 PM",http://cityseekr.com/miami/restaurants/poi-14-thirty-five-367849.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/367849-1.jpg,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/367849-2.jpg,"http://c0056906.cdn2.cloudfiles.rackspacecloud.com/367849-1.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/367849-2.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/367849.jpg"
25.8196398,-80.1224468,"25.8196398, -80.1224468","<a href=""https://www.google.com/maps/dir/Current+Location/25.8196398, -80.1224468"" target=""_blank"">Get directions</a>",1500 Degrees,Restaurants,images/food-beverages.png,"158,116","Contemporary,Local Traditional Cuisine",Global Classics with a Twist,"At the Eden Roc Renaissance Miami Beach you will find this culinary gem, winner of James Beards and all kinds of other awards. the menu changes daily and is always based on the freshest ingredients available every day of every season. Examples of dishes you might encounter on a visit to 1500 Degrees include pork belly tacos and an interesting twist on chicken and waffles, duck and waffles.",4525 Collins Avenue,Eden Roc Renaissance Miami Beach,Miami Beach,FL,United States,33140,Miami Beach (South Beach),+1 305 674 5594,http://www.1500degreesmiami.com/,"Mo to Fr from 06:30 AM to 11:00 AM,Sa to Su from 06:30 AM to 12:00 PM,Su to th from 06:00 PM to 10:00 PM,Fr to Sa from 06:00 PM to 11:00 PM",http://cityseekr.com/miami/restaurants/poi-1500-degrees-766915.html,,,
25.76853,-80.189499,"25.76853, -80.189499","<a href=""https://www.google.com/maps/dir/Current+Location/25.76853, -80.189499"" target=""_blank"">Get directions</a>",15th & Vine Kitchen and Bar,Restaurants,images/food-beverages.png,"479,473","Fusion Cuisine,American",Fresh & Inventive,"Experience fine-dining at Viceroy Miami's 15th & Vine Kitchen and Bar, specializing in contemporary fusion American cuisine. Located on the 15th floor, the dining space extends to the gorgeous patio that overlooks Biscayne Bay, the 300 foot long pool and downtown. the concise menu features stellar creations like black cherry wood smoked duck, grass fed beef tenderloin medallions and pan seared yellow snapper, that will surely change your perception of American cuisine.",485 Brickell Avenue,Viceroy Miami,Miami,FL,United States,33131,Mary Brickell ,+1 305 503 0373,http://www.viceroyhotelsandresorts.com/en/miami/dining_and_nightlife/15th_and_vine_restaurant_and_bar,Su to Sa from 07:00 AM to 11:00 PM,http://cityseekr.com/miami/restaurants/poi-15th-vine-kitchen-and-bar-783416.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/783416-1.jpg,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/783416-2.jpg,"http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-1.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-2.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-3.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-4.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-5.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-6.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-7.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-8.jpg,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/783416-9.jpg"
25.7792541,-80.1918702,"25.7792541, -80.1918702","<a href=""https://www.google.com/maps/dir/Current+Location/25.7792541, -80.1918702"" target=""_blank"">Get directions</a>",180&deg; @ the DRB,Bars And Cafes,images/bar.png,57,Beer Garden,,,501 NorthEast 1st Avenue,,Miami,FL,United States,33132,,+1 305 809 7564,http://www.gastronomyredefined.com/,,http://cityseekr.com/miami/bars-cafes/poi-180-the-drb-926124.html,,,
25.794472,-80.129898,"25.794472, -80.129898","<a href=""https://www.google.com/maps/dir/Current+Location/25.794472, -80.129898"" target=""_blank"">Get directions</a>",1826 Restaurant & Lounge,Restaurants,images/food-beverages.png,473,American,Contemporary Restaurant & Impressive Lounge ,"1826 Restaurant & Lounge, on Collins, is a swanky lounge and eatery, located in Miami Beach, FL. the elegant establishment features gorgeous modern interiors and stylish furniture that's bathed in mood lighting, lending it a niche, upscale vibe. the impressive ambiance is reinforced in the courteous and efficient service and high prices, that you wont mind paying for the refined treat that 1826 entails. Coming to the food, the high-end restaurant serves a lovely contemporary feast that blends both American and French traditions of cooking. Sublime dishes like mushroom ragout, salmon tartare, pav&egrave;s au foie gras are served with attention to details, these and couple beautifully with the stellar handcrafted libations that the lounge offers.  ",1826 Collins Avenue,Between 18th Street and 19th Street,Miami Beach,FL,United States,33139,,+1 305 763 8860,http://www.1826collins.com/,"Tu to th from 06:00 PM to 01:00 AM,Fr to Sa from 06:00 PM to 03:00 AM",http://cityseekr.com/miami/restaurants/poi-1826-restaurant-lounge-885225.html,,,
25.804624,-80.126435,"25.804624, -80.126435","<a href=""https://www.google.com/maps/dir/Current+Location/25.804624, -80.126435"" target=""_blank"">Get directions</a>",27 Restaurant & Bar,Restaurants,images/food-beverages.png,473,American,Delectable American Cuisine,"27 Restaurant & Bar caters to the locals of Miami offering classic American cuisine. Within a decent space they have managed to pull crowds owing to the delicious menu, which keeps evolving seasonally. Great music and a hipster ambiance contribute to the lively atmosphere. ",2727 Indian Creek Drive,Freehand Hostel,Miami Beach,FL,United States,33140,,+1 305 531 2727,http://thefreehand.com/venues/restaurant/,"Mo to Fr from 06:30 PM to 02:00 AM,Sa to Su from 11:00 AM to 02:00 AM",http://cityseekr.com/miami/restaurants/poi-27-restaurant-bar-944766.html,,,
25.794105,-80.189236,"25.794105, -80.189236","<a href=""https://www.google.com/maps/dir/Current+Location/25.794105, -80.189236"" target=""_blank"">Get directions</a>",3 Chefs,Restaurants,images/food-beverages.png,91,Chinese,Chinese Cuisine,"3 Chefs is where you go if you're craving some home-style Chinese. A relatively humble eatery, they serve some of the Pan-Asian dishes like Hong Kong Duck Roast, Orange Beef, Chicken Chow Mein and Pho. Down to earth prices and friendly service keep the locals returning again. Take-out and delivery service are also offered.",1800 Biscayne Boulevard,,Miami,FL,United States,33132,Wynwood Edgewater,+1 305 373 2688 / +1 305 372 2988,http://www.3chefs-mia.com/,"Mo to th from 11:30 AM to 10:00 PM,Fr to Sa from 11:30 AM to 11:00 PM,Su from 01:00 PM to 10:00 PM",http://cityseekr.com/miami/restaurants/poi-3-chefs-783470.html,,,
25.776487,-80.134023,"25.776487, -80.134023","<a href=""https://www.google.com/maps/dir/Current+Location/25.776487, -80.134023"" target=""_blank"">Get directions</a>",660 at the Angler's,Restaurants,images/food-beverages.png,473,American,For Nouvelle Latin Cuisine,"Experience the best quality, variety and flavors at 660 Restaurant located at the Angler's Boutique Resort in the sunny South Beach. Whether you're grabbing an early breakfast or dining with your loved-one, you will certainly be impressed by this restaurant, in terms of both food and service. the menu is dominantly Latin with undertones of familiar American flavors that locals love. the focus is on organic and sustainable ingredients and creating a fine-dine experience for patrons. the ambiance is just right for formal as well as casual occasions; the dining space extending to the outdoor patio area. Advisable to reserve a table ahead.",660 Washington Avenue,the Angler's Boutique Resort,Miami Beach,FL,United States,33139,,+1 786 594 5811,http://theanglersresort.com/restaurant/,"Tu to th from 07:00 AM to 11:00 PM,Fr to Sa from 07:00 AM to 12:00 AM,Su from 07:00 AM to 11:00 PM",http://cityseekr.com/miami/restaurants/poi-660-at-the-angler-s-784728.html,,,
25.7636785,-80.1950482,"25.7636785, -80.1950482","<a href=""https://www.google.com/maps/dir/Current+Location/25.7636785, -80.1950482"" target=""_blank"">Get directions</a>",7-Eleven,Shoppings,images/shopping.png,239,Supermarkets,Great Snack Foods & Slurpees!,"This 7-Eleven outlet is a part of its namesake chain of convenience stores. Drop in for delish sandwiches, chicken tenders, wings and taquitos. From ready-to-eats, drinks and more, you can shop late for your groceries, toiletries and snack foods at this very affordable store. Don't forget to try the many flavors of their famous Slurpee when shopping.",1099 Southwest 1st Avenue,,Miami,FL,United States,33130,Downtown Miami,+1 305 350 9859,https://www.7-eleven.com/,Mo to Su from 12:00 AM to 12:00 AM,http://cityseekr.com/miami/shopping/poi-7-eleven-855779.html,,,
25.829679,-80.191253,"25.829679, -80.191253","<a href=""https://www.google.com/maps/dir/Current+Location/25.829679, -80.191253"" target=""_blank"">Get directions</a>",7th Circuit Studios,Entertainment Venues,images/attraction.png,"89,201,202","Rental Space,Contemporary,Fine Art",,,228 North East 59th Street,,Miami,FL,United States,33137,Northwest Miami,+1 305 770 4077 / +1 866 784 3500(Toll Free) /+1 866 784 3700(Toll Free) /+1 888 784 4077(Toll Free),http://www.7thcircuit.org/main.html,,http://cityseekr.com/miami/entertainment-venues/poi-7th-circuit-studios-725922.html,,,
25.776868,-80.131421,"25.776868, -80.131421","<a href=""https://www.google.com/maps/dir/Current+Location/25.776868, -80.131421"" target=""_blank"">Get directions</a>",A Fish Called Avalon ,Restaurants,images/food-beverages.png,"164,116","Fish & Seafood,Local Traditional Cuisine",Lively Oceanside Grill,"Connected to the Avalon Hotel, this classic seafood grill represents the best of Miami Beach such as great seafood, great ambiance. Guests can choose to dine on the patio, which allows for people watching and an ocean view. As with all Ocean Drive restaurants, Avalon is a bit pricey. One advantage of dining on this side of town is the lively location where there is always something going on. Avalon offers live entertainment nightly.",700 Ocean Drive,,Miami,FL,United States,33139,,+1 305 538 0133,http://www.afishcalledavalon.com/,Mo to Su from 06:00 AM to 11:00 PM,http://cityseekr.com/miami/restaurants/poi-a-fish-called-avalon-23023.html,,,
25.948437,-80.144311,"25.948437, -80.144311","<a href=""https://www.google.com/maps/dir/Current+Location/25.948437, -80.144311"" target=""_blank"">Get directions</a>",A Nose for Clothes,Shoppings,images/shopping.png,223,Women's,Fashion Trends,Standing for over thirty long years A Nose for Clothes has grown with the ever-changing fashion trends. It has been evolving ever since. A Nose for Clothes has set fashion statements for the young and flashy and traditional professionals alike. the company tracks its customers to be of  the 25-60 age-group. A warm and luxurious ambiance gives a serene shopping experience.,2830 Northeast 187th Street,Aventura Place,Miami,FL,United States,33180,Coral Gables,+1 305 935 1022,http://anoseforclothes.com/home.php,"Mo to Tu from 09:30 AM to 06:00 PM,We from 09:30 AM to 07:00 PM,th to Sa from 09:30 AM to 06:00 PM,Su from 11:00 AM to 05:00 PM",http://cityseekr.com/miami/shopping/poi-a-nose-for-clothes-362565.html,,,
25.888031,-80.123847,"25.888031, -80.123847","<a href=""https://www.google.com/maps/dir/Current+Location/25.888031, -80.123847"" target=""_blank"">Get directions</a>",A Pea in the Pod,Shoppings,images/shopping.png,"218,223","Children,Women's",One-Stop Baby Shop,"Elegant clothes for the expectant mother can be found at this popular maternity boutique. Brands such as Gymboree, Mimi and Motherhood are only a few of the names you will see. While this store can be found in most major U.S. cities, it only opens in the most exclusive shopping areas, like Bal Harbour with its lush gardens, fountains, and outdoor cafes. Shopping is an elegant experience",9700 Collins Avenue,"Bal Harbour Shops, Bal Harbour",Miami,FL,United States,33154,North Miami/North Miami Beach,+1 305 866 7044,http://www.apeainthepod.com/,"Mo to Fr from 10:00 AM to 09:00 PM,Sa from 10:00 AM to 07:00 PM,Su from 12:00 PM to 06:00 PM",http://cityseekr.com/miami/shopping/poi-a-pea-in-the-pod-34698.html,,,
25.738213,-80.310884,"25.738213, -80.310884","<a href=""https://www.google.com/maps/dir/Current+Location/25.738213, -80.310884"" target=""_blank"">Get directions</a>",A. D. Barnes Park,Tourist Attractions And Sightseeings,images/attraction.png,40,"Parks, Gardens & Cemeteries",Nature's Splendor,"This 15-acre park offers jogging trails, picnic shelters, a playground, fishing, camping, hiking, and a bird and wildlife sanctuary amid lush tropical greenery. the park also features the Sense of Wonder Nature Center, which hosts nature study programs and special events aimed at promoting a greater awareness and appreciation of nature's beauty. Guided tours of nature sites, as well as snorkeling, canoe, and walking tours at numerous Miami-Dade Park locations, are also available through the Center.",3401 Southwest 72nd Ave,,Miami,FL,United States,33155,Southwest Miami,+1 305 666 5883,http://www.miamidade.gov/parks/Parks/ad_barnes.asp,,http://cityseekr.com/miami/tourist-attractions-sightseeing/poi-a-d-barnes-park-93806.html,,,
25.777646,-80.132344,"25.777646, -80.132344","<a href=""https://www.google.com/maps/dir/Current+Location/25.777646, -80.132344"" target=""_blank"">Get directions</a>",A|X Armani Exchange,Shoppings,images/shopping.png,"219,224,220,223,111","Accessories,Men's,Shoes,Women's,Other",Style Without the Glitz,"Finally...Armani you can afford! Like much of what you'll see on Armani's runways, Exchange style leans toward classic lines and wearable looks. the emphasis tends to be on clingy or otherwise extraordinary fabrics. Expect to see a lot of blues, grays, and olive greens for both the men and women's wear. Form fitting sweaters and slacks never go out style for either gender. Whatever the look of the season may be, expect to find it here, in understated elegance. Prices are pleasantly affordable.",760 Collins Avenue,,Miami,FL,United States,33139,,+1 305 531 5900,http://www.armaniexchange.com/,"Su to We from 10:00 AM to 09:00 PM,th to Sa from 10:00 AM to 10:00 PM",http://cityseekr.com/miami/shopping/poi-a-x-armani-exchange-26981.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/26981-1.jpg,,
25.940871,-80.120501,"25.940871, -80.120501","<a href=""https://www.google.com/maps/dir/Current+Location/25.940871, -80.120501"" target=""_blank"">Get directions</a>",Aaria at Acqualina,Restaurants,images/food-beverages.png,132,Mediterranean,,,17875 Collins Ave,,Sunny Isles,FL,United States,33160,,+1 3059186888,http://www.acqualinaresort.com,,http://cityseekr.com/miami/restaurants/poi-aaria-at-acqualina-614985.html,,,
25.789089,-80.140299,"25.789089, -80.140299","<a href=""https://www.google.com/maps/dir/Current+Location/25.789089, -80.140299"" target=""_blank"">Get directions</a>",Abbey Brewing Company,Bars And Cafes,images/bar.png,"57,54,67","Beer Garden,Bars & Pubs,Brew Pubs",House-Made Beers,"Abbey Brewing Company serves house beers along with imported beers, bottled ales, ports and wines. Most of the drinks are hard to find in America, but definitely worth the trouble. However, most people come for the artisan craft beers, such as Father theodore's Stout which has chocolate, coffee, toffee and anise. the beers are award-winning and the bar has a cozy atmosphere.",1115 16th Street,,Miami Beach,FL,United States,33139,,+1 305 538 8110,http://abbeybrewinginc.com/,Mo to Su from 01:00 PM to 05:00 AM,http://cityseekr.com/miami/bars-cafes/poi-abbey-brewing-company-370796.html,,,
25.749399,-80.25971,"25.749399, -80.25971","<a href=""https://www.google.com/maps/dir/Current+Location/25.749399, -80.25971"" target=""_blank"">Get directions</a>",Ace Tuxedos,Shoppings,images/shopping.png,"224,223,225","Men's,Women's,Specialty",Designer Formal Wear,"This independent tuxedo shop is surprisingly friendly and comfortable, with pop music piped into the store and easygoing, amiable employees. Located on the most highly trafficked strip of Coral Gables, this store gets a lot of business from tourists and other out-of-town guests. Brand names include Ralph Lauren, Perry Ellis and Fumagilli's. Tuxedos can be rented or purchased, as can the starched shirts and bow ties that go with them.",252 Miracle Miles,,Coral Gables,FL,United States,33134,,+1 305 446 5402,http://acetuxedos.com/page2.html,"Mo from 10:30 AM to 06:30 PM,Tu from 10:30 AM to 05:00 PM,We to Fr from 10:30 AM to 06:30 PM,Sa from 10:00 AM to 04:00 PM",http://cityseekr.com/miami/shopping/poi-ace-tuxedos-35671.html,,,
25.764749,-80.253142,"25.764749, -80.253142","<a href=""https://www.google.com/maps/dir/Current+Location/25.764749, -80.253142"" target=""_blank"">Get directions</a>",Ache,Restaurants,images/food-beverages.png,"170,188","Tapas,Live Music",Dance the Night Away,Ache is a Hispanic nightclub that often features live music. Local bands from different genres of music perform here and  create great dance music. After you dance the night away have a midnight snack or head to the bar for another drink.,3600 Southwest 8th Street,,Miami,FL,United States,33135,Southwest Miami,+1 305 442 1363,http://www.achemiami.com/index.html,,http://cityseekr.com/miami/restaurants/poi-ache-370813.html,,,
25.7647147,-80.2531325,"25.7647147, -80.2531325","<a href=""https://www.google.com/maps/dir/Current+Location/25.7647147, -80.2531325"" target=""_blank"">Get directions</a>",Ache Supper Club,Entertainment Venues,images/attraction.png,87,Cabaret & Revue,Caberet and More in Little Havana,"Located in Little Havana, the Ache Supper Club serves as a restaurant, bar, nightclub, and cabaret. the club has entertaining and original shows, with dancers, skits, and comedy. All forms of Spanish music including, Merenge, Bachata, and Reggaeton can be heard here. Visit the website for show times and tickets.",3600 South West 8th Street,,Miami,FL,United States,33135,Little Havana/Calle Ocho,+1 305 442 1363,http://www.achemiami.com/,,http://cityseekr.com/miami/entertainment-venues/poi-ache-supper-club-729197.html,,,
25.787732,-80.381468,"25.787732, -80.381468","<a href=""https://www.google.com/maps/dir/Current+Location/25.787732, -80.381468"" target=""_blank"">Get directions</a>",Acqua Nell Mare,Restaurants,images/food-beverages.png,164,Fish & Seafood,,,11401 Northwest 12th Street,Dolphin Mall,Miami,FL,United States,33172,,,,,http://cityseekr.com/miami/restaurants/poi-acqua-nell-mare-953815.html,,,
25.9408,-80.120679,"25.9408, -80.120679","<a href=""https://www.google.com/maps/dir/Current+Location/25.9408, -80.120679"" target=""_blank"">Get directions</a>",Acqualina Resort and Spa on the Beach,Accommodations,images/hotel.png,1,Very Expensive/Deluxe,Stay at the Bay,"With a beautiful view of the Atlantic Ocean coastline, Acqualina Resort and Spa is located between Fort Lauderdale ad Miami in South Isles Beach. A perfect choice for both business and leisure travelers, the resort offers world class facilities and a luxurious atmosphere to make your stay at the resort unforgettable. Enjoy the fine dining experience at the Aaria Bar & Lounge, Il Mulino New York and Costa Grill restaurants of the hotel. Experience the ultimate spa experience at the ESPA, which offers a variety of spa treatments. this ocean front hotel is a perfect place to pamper yourself to the fullest.",17875 Collins Avenue,,Sunny Isles Beach,FL,United States,33160,,+1 305 918 8000,http://www.acqualinaresort.com,,http://cityseekr.com/miami/accommodation/poi-acqualina-resort-and-spa-on-the-beach-375341.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/375341.jpg,,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/375341.jpg
25.72698,-80.244011,"25.72698, -80.244011","<a href=""https://www.google.com/maps/dir/Current+Location/25.72698, -80.244011"" target=""_blank"">Get directions</a>",Adams House,Shoppings,images/shopping.png,111,Other,"Cigars, Cloves, Pipes","The air in Adams House is rich with the scent of clove cigarettes, fresh pipe tobacco, and incense. Cigars, cigarettes, all varieties of cloves, lighters (from the simple to the elaborate), incense, and smoking accessories can be found here. Despite the fact that you might find a few adult novelties, the store maintains a level of propriety, partially due to its location in Coconut Grove.",3113 Commodore Plaza,,Miami,FL,United States,33133,Coconut Grove,+1 305 444 3015,,"Mo to Sa from 11:00 AM to 12:00 AM,Su from 11:00 AM to 10:00 PM",http://cityseekr.com/miami/shopping/poi-adams-house-39180.html,,,
25.781099,-80.130499,"25.781099, -80.130499","<a href=""https://www.google.com/maps/dir/Current+Location/25.781099, -80.130499"" target=""_blank"">Get directions</a>",Adrian Hotels,Accommodations,images/hotel.png,4,Inexpensive,Prime Location and Bargain Pricing,"If you are looking to stay in the heart of South Beach but do not need luxury accommodations, check out this quaint complex on Ocean Drive. the building is an official historic landmark and dates back to the Deco era, a period during which much of Miami Beach was developed. Guests can opt for a room with a kitchenette or dine in Adrian's restaurant, the Ocean Promenade. A spacious patio bar and game room round out the facilities.",1060 Ocean Drive,,Miami,FL,United States,33139,,+1 305 538 0007,,,http://cityseekr.com/miami/accommodation/poi-adrian-hotels-21468.html,,,
25.766031,-80.193316,"25.766031, -80.193316","<a href=""https://www.google.com/maps/dir/Current+Location/25.766031, -80.193316"" target=""_blank"">Get directions</a>",Afternoon Delights,Shoppings,images/shopping.png,"228,111","Best Buys,Other",Gifts In Good Taste,"This lovely Brickell Village area shop features gift baskets for every occasion, a beautiful array of flower arrangements (fresh or dried, topiaries, roses, exotic flora, etc.), and gourmet products including Lindt chocolates and Byrd Company cookies. You will also find fine gift selections by Seasons, Applause, and Russ. Wedding set ups and delivery service are available.",836 South Miami Avenue,,Miami,FL,United States,33130,Downtown Miami,+1 305 381 9075,,,http://cityseekr.com/miami/shopping/poi-afternoon-delights-98703.html,,,
