longitude,latitude,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-80.28217435,25.7974087,D41,,Gate,,,,Concourse D,MIA
-80.28265715,25.79819112,D42,,Gate,,,,Concourse D,MIA
-80.28264642,25.79738938,D43,,Gate,,,,Concourse D,MIA
-80.28312922,25.7981718,D44,,Gate,,,,Concourse D,MIA
-80.28322577,25.79737972,D45,,Gate,,,,Concourse D,MIA
-80.28352618,25.79816214,D46,,Gate,,,,Concourse D,MIA
-80.28366566,25.7973604,D47,,Gate,,,,Concourse D,MIA
-80.28424501,25.79811384,D48,,Gate,,,,Concourse D,MIA
-80.28413773,25.79738938,D49,,Gate,,,,Concourse D,MIA
-80.27148843,25.79801725,D5,,Gate,,,,Concourse D,MIA
-80.2848351,25.7980752,D50,,Gate,,,,Concourse D,MIA
-80.28454542,25.79735074,D51,,Gate,,,,Concourse D,MIA
-80.28485656,25.7973604,D53,,Gate,,,,Concourse D,MIA
-80.28538227,25.79732176,D55,,Gate,,,,Concourse D,MIA
-80.27187467,25.79882865,D6,,Gate,,,,Concourse D,MIA
-80.28629422,25.79761155,D60,,Gate,,,,Concourse D,MIA
-80.27183175,25.79798827,D7,,Gate,,,,Concourse D,MIA
-80.27229309,25.79881899,D8,,Gate,,,,Concourse D,MIA
-80.27217507,25.79798827,D9,,Gate,,,,Concourse D,MIA
-80.28199196,25.79492616,E10,,Gate,,,,,MIA
-80.28175592,25.79543812,E11,,Gate,,,,,MIA
-80.28042555,25.79459772,E2,,Gate,,,,,MIA
-80.28368711,25.7948199,E20,,Gate,,,,,MIA
-80.28464198,25.79520629,E21,,Gate,,,,,MIA
-80.2837944,25.79443351,E22,,Gate,,,,,MIA
-80.28460979,25.7948199,E23,,Gate,,,,,MIA
-80.28425574,25.79434657,E24,,Gate,,,,,MIA
-80.28455615,25.79455908,E25,,Gate,,,,,MIA
-80.28377295,25.7955637,E30,,Gate,,,,,MIA
-80.28464198,25.79555404,E31,,Gate,,,,,MIA
-80.28463125,25.79588247,E33,,Gate,,,,,MIA
-80.28104782,25.79464602,E4,,Gate,,,,,MIA
-80.28061867,25.79527391,E5,,Gate,,,,,MIA
-80.28136969,25.79465568,E6,,Gate,,,,,MIA
-80.28089762,25.79538017,E7,,Gate,,,,,MIA
-80.28180957,25.79471364,E8,,Gate,,,,,MIA
-80.28135896,25.79545744,E9,,Gate,,,,,MIA
-80.2807045,25.79263676,F10,,Gate,,,,,MIA
-80.28169155,25.79269472,F11,,Gate,,,,,MIA
-80.28080106,25.79236629,F12,,Gate,,,,,MIA
-80.28125167,25.79196056,F14,,Gate,,,,,MIA
-80.2818203,25.79250153,F15,,Gate,,,,,MIA
-80.28149843,25.79168042,F16,,Gate,,,,,MIA
-80.28215289,25.79241459,F17,,Gate,,,,,MIA
-80.28203487,25.79172872,F18,,Gate,,,,,MIA
-80.2825284,25.79220207,F19,,Gate,,,,,MIA
-80.28244257,25.79189294,F23,,Gate,,,,,MIA
-80.27997494,25.79387323,F3,,Gate,,,,,MIA
-80.27954578,25.79327432,F4,,Gate,,,,,MIA
-80.28035045,25.79367038,F5,,Gate,,,,,MIA
-80.27998567,25.7930618,F6,,Gate,,,,,MIA
-80.2807796,25.79339024,F7,,Gate,,,,,MIA
-80.28036118,25.79285894,F8,,Gate,,,,,MIA
-80.28134823,25.79305214,F9,,Gate,,,,,MIA
-80.27876258,25.79112014,G10,,Gate,,,,,MIA
-80.27978182,25.79116844,G11,,Gate,,,,,MIA
-80.27893424,25.79078204,G12,,Gate,,,,,MIA
-80.27934194,25.79055019,G14,,Gate,,,,,MIA
-80.27959943,25.79065645,G16,,Gate,,,,,MIA
-80.27989984,25.79084966,G19,,Gate,,,,,MIA
-80.2779901,25.7926754,G2,,Gate,,,,,MIA
-80.27877331,25.79275268,G3,,Gate,,,,,MIA
-80.27816176,25.79230833,G4,,Gate,,,,,MIA
-80.27899861,25.79243391,G5,,Gate,,,,,MIA
-80.27835488,25.79193158,G6,,Gate,,,,,MIA
-80.27926683,25.7919509,G7,,Gate,,,,,MIA
-80.27855873,25.79149688,G8,,Gate,,,,,MIA
-80.27955651,25.79149688,G9,,Gate,,,,,MIA
-80.27621984,25.79077238,H10,,Gate,,,,,MIA
-80.27724981,25.79077238,H11,,Gate,,,,,MIA
-80.27618766,25.79035699,H12,,Gate,,,,,MIA
-80.27617693,25.79004786,H14,,Gate,,,,,MIA
-80.27724981,25.79043427,H15,,Gate,,,,,MIA
-80.27723908,25.79004786,H17,,Gate,,,,,MIA
-80.27726054,25.79259812,H3,,Gate,,,,,MIA
-80.27634859,25.79235663,H4,,Gate,,,,,MIA
-80.27726054,25.79221173,H5,,Gate,,,,,MIA
-80.27632713,25.79191226,H6,,Gate,,,,,MIA
-80.27724981,25.79176736,H7,,Gate,,,,,MIA
-80.27627349,25.79135198,H8,,Gate,,,,,MIA
-80.27724981,25.79124572,H9,,Gate,,,,,MIA
-80.27310848,25.7910332,J10,,Gate,,,,,MIA
-80.27412772,25.79115878,J11,,Gate,,,,,MIA
-80.27308702,25.79073373,J12,,Gate,,,,,MIA
-80.27306557,25.79048257,J14,,Gate,,,,,MIA
-80.27411699,25.79076272,J15,,Gate,,,,,MIA
-80.27324796,25.79029903,J16,,Gate,,,,,MIA
-80.27413845,25.79043427,J17,,Gate,,,,,MIA
-80.27362347,25.79025073,J18,,Gate,,,,,MIA
-80.27323723,25.79282996,J2,,Gate,,,,,MIA
-80.27415991,25.79264642,J3,,Gate,,,,,MIA
-80.27323723,25.79233731,J4,,Gate,,,,,MIA
-80.27417064,25.79228901,J5,,Gate,,,,,MIA
-80.27316213,25.7919992,J6,,Gate,,,,,MIA
-80.27415991,25.79193158,J7,,Gate,,,,,MIA
-80.27311921,25.79147756,J8,,Gate,,,,,MIA
-80.27413845,25.7916128,J9,,Gate,,,,,MIA
