source_id,registry_id,rcr_name,rcr_street,rcr_city,rcr_state,fac_lat,fac_long,fac_percent_minority,rcra_curr_snc,rcra_curr_compl_status,rcra_qtrs_in_nc,rcra_curr_violation_types,rcra_insp_cnt,rcra_iea_cnt,rcra_last_iea_date,rcra_fea_cnt,fac_map_flg
"ALD000771949","110000620917","BEAZER EAST INC","2134 KOPPERS DRIVE","DOLOMITE","AL",33.444738,-86.964374,70.246,"No","No Violation",3,"NA, PCR",3,0,12/20/2006,0,"Y"
"ALD000826958","110064239051","AUBURN UNIVERSITY","971 CAMP AUBURN ROAD","AUBURN","AL",32.584113,-85.498642,27.02,"No","No Violation",2,"261.A, 262.A, 262.C, 265.I, 273.B, NA",5,0,03/16/2010,0,"Y"
"ALD001221902","110000605051","BASF CORP","1379 CIBA RD","MCINTOSH","AL",31.279,-87.9955,87.781,"No","No Violation",1,"265.J, NA, XXS",6,1,01/28/2013,0,"Y"
"ALD002904506","110000366318","U.S. STEEL FAIRFIELD WORKS","5700 VALLEY RD","FAIRFIELD","AL",33.48063,-86.936717,85.345,"No","No Violation",0,"NA",3,0,11/15/2010,0,"Y"
"ALD004000790","110056955166","RESOLUTE FP US INC","17589 PLANT ROAD","COOSA PINES","AL",33.326675,-86.35787,28.551,"No","Noncompliance",1,"262.C, NA",5,0,07/21/2003,0,"Y"
"ALD004009320","110000367102","HUNT REFINING COMPANY","1855 FAIRLAWN RD","TUSCALOOSA","AL",33.2003,-87.607,74.487,"No","No Violation",3,"262.B, 265.B, 265.D, 273.B, 279.C, NA",4,0,03/16/2004,0,"Y"
"ALD004009403","110000368593","BEAZER EAST INC & KOPPERS INC","1415 LOUISVILLE STREET","MONTGOMERY","AL",32.396925,-86.317277,74.204,"No","No Violation",0,"NA",4,0,09/25/2006,0,"Y"
"ALD004014973","110000745472","GULF STATES STEEL","174 26TH ST SOUTH","GADSDEN","AL",34.018296,-86.04363,38.863,"No","No Violation",0,"NA",2,0,10/04/2001,0,"Y"
"ALD004017869","110000366096","OSP, LLC","2053 SAINT LOUIS AVENUE","BESSEMER","AL",33.41702,-86.97085,71.945,"No","No Violation",1,"264.B, NA",4,0,12/08/1995,0,"Y"
"ALD004017901","110000366620","MUELLER PROPERTY HOLDINGS LLC","3000 30TH AVENUE NORTH","BIRMINGHAM","AL",33.55382,-86.80876,88.511,"No","No Violation",1,"264.B, 264.F, NA",5,0,12/01/1995,0,"Y"
"ALD004019048","110000368806","SOLUTIA INC","702 CLYDESDALE AVE","ANNISTON","AL",33.65007,-85.85466,53.765,"No","No Violation",2,"264.D, 273.B, 279.C, 279.F, NA",3,0,10/17/2005,0,"Y"
"ALD004019642","110000367736","OCCIDENTAL CHEMICAL CORPORATION","1000 N WILSON DAM RD","MUSCLE SHOALS","AL",34.772461,-87.628159,25.991,"No","No Violation",1,"273.B, NA",3,0,07/15/2003,0,"Y"
"ALD004023180","110000589293","NICHOLS ALUMINUM- ALABAMA LLC","2001 HIGHWAY 20 WEST","DECATUR","AL",34.6169,-87.0176,50.832,"No","No Violation",0,"NA",3,0,07/09/2003,0,"Y"
"ALD008161176","110000741243","AKZO NOBEL FUNCTIONAL CHEMICALS LLC","13440 HWY 43 NORTH","AXIS","AL",30.96943,-88.0175,25.391,"Yes","Significant Violation",5,"265.J, 279.C, NA",4,0,08/03/2005,0,"Y"
"ALD008161416","110012508599","TR MILLER MILL COMPANY INC","215 DEER ST","BREWTON","AL",31.1047,-87.0694,45.332,"No","No Violation",2,"262.C, NA",4,0,01/29/2010,0,"Y"
"ALD008163388","110000369529","OCCIDENTAL CHEMICAL CORPORATION","1300 JARVIS RD","MOBILE","AL",30.74921,-88.06931,86.759,"No","No Violation",1,"NA, PCR",3,0,02/13/2001,0,"Y"
"ALD008185407","110000589676","HUXFORD POLE & TIMBER CO. INC.","14200 HWY 21","HUXFORD","AL",31.21888,-87.46861,15.228,"No","No Violation",0,"NA",4,0,07/18/2005,0,"Y"
"ALD008188708","110037311263","OLIN CHLOR ALKALI PRODUCTS INC MCINTOSH PLANT","1638 INDUSTRIAL ROAD","MCINTOSH","AL",31.26388,-87.99445,88.898,"No","No Violation",1,"262.D, 264.E, 265.B, NA",3,0,09/08/2003,0,"Y"
"ALD010394021","110001168691","ADDIVANT USA, LLC","43300 STATE HIGHWAY 225","BAY MINETTE","AL",30.869537,-87.863795,21.423,"No","No Violation",0,"NA",6,0,12/30/2010,0,"Y"
"ALD021257951","110001168717","RENTOKIL INITIAL ENVIRONMENTAL SERVICES, LLC","10565 HIGHWAY 43","CREOLA","AL",30.911327,-88.038082,17.575,"No","No Violation",2,"264.E, NA",3,0,02/17/2003,0,"Y"
"ALD031490501","110007233476","BALDWIN POLE & PILING CO INC","1101 NORTH HIGHWAY 31","BAY MINETTE","AL",30.889507,-87.762221,36.53,"No","No Violation",0,"NA",5,0,03/10/2006,0,"Y"
"ALD034046730","110000747773","STELLA - JONES CORPORATION","1051 HIGHWAY 25 S","MONTEVALLO","AL",33.060939,-86.899645,28.258,"No","No Violation",1,"279.C, NA",4,1,05/11/2016,0,"Y"
"ALD044889624","110030902584","HOOVER GROUP INC","690 KEYSTONE DR","CLANTON","AL",32.854094,-86.606228,22.54,"No","No Violation",0,"NA",1,0,09/12/2006,0,"Y"
"ALD046481032","110056964183","SANDERS LEAD COMPANY INCORPORATED","1 SANDERS RD","TROY","AL",31.788115,-85.977613,45.613,"No","No Violation",1,"273.B, NA",5,0,11/09/2009,0,"Y"
"ALD049984842","110001714020","RICHARDS METAL PLATING INC","529 SOUTH ROYAL AVENUE","FLORENCE","AL",34.802986,-87.657431,30.748,"No","No Violation",0,"NA",2,0,06/29/2004,0,"Y"
"ALD050166750","110037354868","GTE PRODUCTS OF CONNECTICUT CORP","2951 GREEN COVE ROAD","HUNTSVILLE","AL",34.595451,-86.567281,14.991,"No","No Violation",0,"NA",4,0,09/27/2004,0,"Y"
"ALD054571278","110000780209","NATIONAL STANDARD LLC","104 INDUSTRIAL PARKWAY","COLUMBIANA","AL",33.180776,-86.622422,28.066,"No","No Violation",0,"NA",3,0,12/11/2002,0,"Y"
"ALD057213811","110000368860","LEE BRASS","1800 GOLDEN SPRINGS ROAD","ANNISTON","AL",33.620879,-85.78618,30.667,"No","Noncompliance",4,"262.A, 262.C, 265.I, 270.A, NA",4,2,01/16/2015,0,"Y"
"ALD057226904","110001147170","CAVENHAM FOREST INDUSTRIES, LLC","SOUTH END HERBERT STREET","MOBILE","AL",30.730444,-88.049222,92.509,"No","No Violation",0,"NA",2,0,05/19/2003,0,"Y"
"ALD058221326","110025353748","ALABAMA STATE PORT AUTHORITY (AWTC SITE 3)","68 VIRGINA ST","MOBILE","AL",30.69709,-88.04071,73.778,"No","No Violation",1,"264.B, 265.B, 265.D, NA, PCR, XXS",5,2,02/08/2012,1,"Y"
"ALD067110676","110000367825","DE NORA TECH, INC.","102 MARYLAND STREET","TUSCUMBIA","AL",34.700431,-87.666896,21.006,"No","No Violation",1,"264.H, NA",3,0,10/18/2007,0,"Y"
"ALD070513767","110000368263","GIANT RESOURCE RECOVERY- ATTALLA, INC.","1229 VALLEY DRIVE","ATTALLA","AL",34.08353,-86.02598,5.923,"Yes","Significant Violation",7,"262.C, 264.B, 264.BB, 264.CC, 268.E, NA, PCR",7,2,09/30/2015,1,"Y"
"ALD077935203","110000864529","AUTOSPORTS NET","1205 FRONT STREET","ANNISTON","AL",33.63296,-85.82996,48.364,"No","No Violation",0,"NA",1,0,07/22/2002,0,"Y"
"ALD079109013","110000368138","NATIONAL COPPER & SMELTING","3333 STANWOOD BLVD","HUNTSVILLE","AL",34.78232,-86.53425,42.236,"No","No Violation",1,"NA, XXS",4,0,07/01/2003,0,"Y"
"ALD079127635","110000366201","COOPER TOOLS INC.- FORMER NICHOLSON PLANT","2125 2ND AVE SW","CULLMAN","AL",34.14259,-86.82768,13.336,"No","No Violation",3,"NA, XXS",4,0,09/25/2001,0,"Y"
"ALD079474037","110020073613","UNIVERSITY OF SOUTH ALABAMA","307 UNIVERSITY BOULEVARD NORTH","MOBILE","AL",30.694829,-88.17394,43.855,"Yes","Significant Violation",12,"262.C, 265.B, 265.C, 265.I, 273.B, 273.C, 279.C, NA",8,2,07/23/2013,0,"Y"
"ALD081391492","110037370868","MEADOWCRAFT INC  MEADOWCRAFT ROAD","1401 MEADOWCRAFT ROAD","BIRMINGHAM","AL",33.64088,-86.72817,76.2,"No","Noncompliance",6,"264.B, 264.E, 264.H, NA, XXS",5,1,12/09/2013,0,"Y"
"ALD082066192","110000608655","JAMES GRAHAM BROWN FOUNDATION INC BROWNVILLE SITE","16591 BROWNVILLE ROAD","NORTHPORT","AL",33.39562,-87.75339,4.977,"No","Noncompliance",12,"262.A, 262.B, 262.C, 264.I, 264.J, NA, XXS",2,0,08/31/1999,0,"Y"
"ALD085765808","110000366283","BEAZER EAST INC & KOPPERS INC - WOODWARD TAR","1835 KOPPERS DRIVE","DOLOMITE","AL",33.455379,-86.961104,67.527,"No","No Violation",3,"NA, PCR",3,0,12/16/2004,0,"Y"
"ALD094476793","110025375895","ALLWORTH, LLC","500 MEDCO ROAD","BIRMINGHAM","AL",33.59474,-86.77153,66.615,"Yes","Significant Violation",10,"262.A, 262.B, 262.C, 264.B, 264.BB, 264.C, 264.D, 264.I, 270.B, 273.C, NA, PCR",7,3,08/08/2016,2,"Y"
"ALD095687786","110002043155","LP LOCKHART","2613 HWY 55","LOCKHART","AL",31.000833,-86.334167,20.098,"No","No Violation",2,"264.F, NA, PCR",3,0,07/07/2003,0,"Y"
"ALD981020894","110017862393","EWS ALABAMA, INC.","402 WEBSTER CHAPEL ROAD","GLENCOE","AL",33.959853,-85.858185,3.408,"Yes","Significant Violation",12,"262.C, NA",5,2,09/18/2013,1,"Y"
"ALD981028368","110000608673","MASTER CLEANERS-AIRPORT LLC","3809 AIRPORT BLVD","MOBILE","AL",30.67544,-88.14089,44.535,"No","No Violation",0,"NA",0,0,,0,"Y"
"ALD981028772","110000620962","MASTER CLEANERS-SPRINGHILL LLC","1509 SPRINGHILL AVENUE","MOBILE","AL",30.692435,-88.072158,75.37,"No","No Violation",0,"NA",0,0,03/10/1999,0,"Y"
"ALD982111494","110000608691","ALDOT TRACT 92","INTERSECT OF I-65 AND N CRAFT","PRICHARD","AL",30.761826,-88.074079,80.583,"No","No Violation",2,"262.D, 264.D, 264.F, NA",7,0,07/23/2003,0,"Y"
"ALD982123127","110000608708","DELTA AUTOMOTIVE INC.","103 SOUTH ATLANTA AVENUE","SHEFFIELD","AL",34.758059,-87.69525,30.792,"Yes","Significant Violation",12,"264.H, NA",0,0,02/25/2004,0,"Y"
"ALD983177015","110037360067","EQ ALABAMA, INC.","51328 AL HIGHWAY 17","SULLIGENT","AL",33.848679,-88.113457,18.529,"No","No Violation",2,"264.B, 264.I, NA, PCR, XXS",3,1,03/23/2015,0,"Y"
"ALD983180597","110007404424","OXFORD MACHINE & FAB INC","25 SHERMAN DRIVE","OXFORD","AL",33.593385,-85.933132,18.242,"No","No Violation",1,"279.C, NA",4,0,02/23/2004,0,"Y"
"ALD983184425","110007233083","ALACOTE CORPORATION","1500 FRONT STREET","ANNISTON","AL",33.62971,-85.831438,45.963,"No","No Violation",3,"264.F, FEA, NA",3,0,09/14/2005,0,"Y"
"ALR000009654","110002043164","SARALAND SHOPPING CENTER","US HWY 43@SHELTON BEACH ROAD","SARALAND","AL",30.823889,-88.070278,18.724,"No","No Violation",0,"NA",0,0,06/04/2003,0,"Y"
"AR0213820707","110024424096","PINE BLUFF ARSENAL","10020 KABRICH CIRCLE","PINE BLUFF","AR",34.284056,-92.051194,41.027,"No","Noncompliance",6,"262.B, 264.B, 264.C, 264.I, 264.N, 265.C, 265.I, 279.C, NA, PCR",11,9,07/18/2016,2,"Y"
"ARD000021998","110017419667","LION OIL COMPANY","1000 MCHENRY","EL DORADO","AR",33.200091,-92.675095,55.204,"No","No Violation",5,"262.C, 264.C, 264.D, 264.I, 265.I, 270.D, 273.B, NA, PCR",9,6,04/04/2016,1,"Y"
"ARD006344824","110000451715","KOPPERS INC","2201 EDMONDS ST","NORTH LITTLE ROCK","AR",34.768804,-92.214943,49.943,"No","No Violation",8,"262.C, 265.J, 265.W, NA, PCR",7,8,12/01/2015,3,"Y"
"ARD006354161","110000608771","REYNOLDS METALS COMPANY GUM, LLC - SPRINGS PLANT","500 EAST REYNOLDS ROAD","ARKADELPHIA","AR",34.0403,-93.0448,15.228,"No","No Violation",7,"262.C, 264.BB, 264.J, 265.I, 279.C, NA, PCR",11,8,12/16/2015,2,"Y"
"ARD043195429","110000451109","GREAT LAKES CHEMICAL CENTRAL PLANT","2226 HAYNESVILLE HWY","EL DORADO","AR",33.184744,-92.706867,37.378,"Yes","Significant Violation",10,"262.C, 264.D, 264.J, 265.I, 270.D, 273.B, 279.C, NA, PCR",9,12,06/23/2016,5,"Y"
"ARD047335096","110043769605","SENTINEL INDUSTRIES, INC.","2016 AR 56 HWY","CALICO ROCK","AR",36.140053,-92.124234,10.706,"No","No Violation",5,"264.C, 273.B, 279.C, NA, PCR",5,5,09/23/2015,1,"Y"
"ARD047335922","110001657252","SPORTING GOODS PROPERTIES, INC.","I-40 AND STATE HWY 15","LONOKE","AR",34.800346,-91.993828,18.178,"No","No Violation",3,"264.B, 264.C, NA, PCR, XXS",4,2,09/10/2015,0,"Y"
"ARD067671313","110000451270","WEYERHAEUSER NR DEQUEEN REMEDIATION SITE","377 SOUTH TREATING PLANT ROAD","DE QUEEN","AR",34.018726,-94.367972,58.203,"No","No Violation",1,"264.B, 264.D, 264.K, 273.B, NA, PCR",7,2,01/14/2016,0,"Y"
"ARD069748192","110000521221","CLEAN HARBORS EL DORADO, LLC","309 AMERICAN CIRCLE","EL DORADO","AR",33.20586,-92.63103,62.242,"No","Noncompliance",11,"262.B, 262.C, 264.BB, 264.E, 264.I, 264.J, 265.C, 265.I, 270.A, NA, PCR",16,18,05/16/2016,4,"Y"
"ARD089234884","110017432937","FUTUREFUEL CHEMICAL COMPANY","2800 GAP RD","BATESVILLE","AR",35.722567,-91.524977,3.32,"No","No Violation",2,"262.C, 265.C, 265.I, 265.J, 273.B, NA, PCR, XXS",2,2,09/16/2015,0,"Y"
"ARD091688283","110000859991","AEROJET ROCKETDYNE, INC.","HWY 274 (EAST WALTON ROAD)","EAST CAMDEN","AR",33.625354,-92.689987,31.522,"No","No Violation",2,"262.C, 265.I, 273.B, NA, XXS",7,3,01/27/2015,0,"Y"
"ARD093417525","110001101922","AUSTIN POWDER COMPANY","7 -LC-10 BLANDY ROAD","EAST CAMDEN","AR",33.598098,-92.60606,11.765,"Yes","Significant Violation",7,"262.A, 264.D, 265.C, 265.I, 268.A, 270.A, 270.D, 273.B, NA, PCR",6,11,06/23/2016,1,"Y"
"ARD980621155","110043771308","LOCKHEED MARTIN MFC - EWTF","LEWIS ROAD","EAST CAMDEN","AR",33.660278,-92.691111,28.269,"No","No Violation",4,"264.H, NA, PCR, XXS",2,4,03/02/2016,1,"Y"
"ARD980867873","110000746364","ESTERLINE ARMTEC COUNTERMEASURES COMPANY","HIGHWAY 203 EAST HIGHLAND IND","EAST CAMDEN","AR",33.65111,-92.637368,3.03,"Yes","Significant Violation",10,"262.C, 270.D, NA, PCR",3,14,07/07/2016,1,"Y"
"ARD981057870","110000451476","RINECO CHEMICAL INDUSTRIES, INC","1007 VULCAN ROAD","BENTON","AR",34.513889,-92.630556,9.739,"No","No Violation",4,"262.C, 264.CC, 264.I, 265.I, NA, PCR",12,9,10/15/2015,1,"Y"
"ARD981512270","110000597729","ASH GROVE CEMENT COMPANY","4343 HIGHWAY 108","FOREMAN","AR",33.6953,-94.423,30.422,"No","Noncompliance",10,"262.C, 262.D, 264.B, 264.BB, 264.E, 264.I, 264.J, 265.I, 268.E, 270.C, 270.D, 273.B, 279.C, NA, PCR",14,11,06/20/2016,2,"Y"
"AZ0000337360","110011644612","VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.","5736 W. JEFFERSON STREET","PHOENIX","AZ",33.44618,-112.18484,89.644,"No","No Violation",7,"262.A, 262.C, 273.C, FSS, NA",6,13,01/05/2016,1,"Y"
"AZ4570024139","110027982280","MUNITIONS TREATMENT RANGE, UNIT 8, BARRY M. GOLDWATER RANGE","15-M S OF GILA BEND ON SR 85,","GILA BEN","AZ",33.54,-112.3567,45.959,"No","No Violation",0,"NA",4,2,01/21/2016,0,"Y"
"AZ5213820991","110039495169","U.S. ARMY GARRISON YUMA PROVING GROUND","301 C STREET IMYM-PWE","YUMA","AZ",32.85782,-114.43973,42.883,"No","No Violation",3,"FSS, NA",4,11,12/15/2015,0,"Y"
"AZ7213820635","110060990904","CAMP NAVAJO, ARIZONA ARMY NATIONAL GUARD","1 HUGHES ROAD BLDG 15","BELLEMONT","AZ",35.2327,-111.8347,24.939,"No","No Violation",4,"262.A, 262.C, 273.B, FSS, NA",6,18,01/21/2016,0,"Y"
"AZD000819565","110000608879","BEAN AND CO","9450 S SALOME RD","PALO VERDE","AZ",33.362589,-112.745028,41.916,"No","No Violation",0,"NA",0,0,09/12/2003,0,"Y"
"AZD009015389","110000471249","ROMIC ENVIRONMENTAL TECHNOLOGY CORP","6760 W ALLISON RD","CHANDLER","AZ",33.288889,-111.957222,34.428,"No","No Violation",0,"NA",0,0,12/04/2008,0,"Y"
"AZD020132502","110000898306","NAMMO TALLEY, INC.","4111 N. HIGLEY ROAD","MESA","AZ",33.489883,-111.718632,14.015,"No","No Violation",2,"265.D, NA",5,14,05/26/2016,0,"Y"
"AZD049318009","110000608913","CLEAN HARBORS ARIZONA","1340 WEST LINCOLN","PHOENIX","AZ",33.44191,-112.09116,76.044,"No","No Violation",2,"FSS, NA",6,13,01/15/2015,0,"Y"
"AZD081705402","110000608931","HERITAGE ENVIRONMENTAL SERVICES, LLC","284 E STOREY RD","COOLIDGE","AZ",32.89398,-111.51159,51.078,"No","No Violation",3,"262.C, FSS, NA",7,23,02/01/2016,0,"Y"
"AZD085459535","110000608940","WALBAR INC DBA GOODRICH","811 W BROADWAY RD","TEMPE","AZ",33.40738,-111.95051,48.057,"No","No Violation",0,"NA",0,0,06/14/2001,0,"Y"
"AZD980665814","110000907573","PAGE-TROWBRIDGE RANCH","T93 R14 SEC S27 N34","TUCSON","AZ",32.615142,-110.889156,8,"No","Noncompliance",3,"FSS, NA",4,21,03/08/2016,0,"Y"
"AZD980735500","110000470909","WORLD RESOURCES COMPANY","8113 W. SHERMAN STREET","TOLLESON","AZ",33.44083,-112.23551,84.792,"No","No Violation",6,"262.B, NA",5,13,07/22/2016,0,"Y"
"AZD980814479","110000621024","UNIVERSAL PROPULSION COMPANY, INC. (UPCO)","25401 N CENTRAL AVENUE","PHOENIX","AZ",33.716808,-112.071004,22.953,"No","No Violation",0,"NA",0,0,05/21/2010,0,"Y"
"AZD980892731","110000608977","INNOVATIVE WASTE UTILIZATION LLC","2575 S 16TH AVE","PHOENIX","AZ",33.42259,-112.09375,83.232,"No","No Violation",0,"NA",0,1,10/07/2014,0,"Y"
"AZD981969504","110000608986","SAFETY-KLEEN SYSTEMS, INC.","6625 W FRYE ROAD","CHANDLER","AZ",33.29885,-111.95564,33.527,"No","Noncompliance",4,"262.A, 262.C, FSS, NA",5,23,03/23/2016,0,"Y"
"AZD982441263","110058917739","EVOQUA WATER TECHNOLOGIES","2523 MUTAHAR ST","PARKER","AZ",34.131357,-114.273581,64.575,"No","No Violation",0,"NA",2,1,08/27/2012,0,"Y"
"AZR000037382","110041967930","BARRY M GOLDWATER RANGE WESTERN HALF","BOUNDED BY 1-8 & MEXICAN BORDE","YUMA","AZ",32.620556,-114.506666,54.869,"No","No Violation",1,"262.A, 273.B, NA",5,5,11/19/2014,0,"Y"
"AZT000612135","110000609011","CONN-SELMER GROUNDWATER REMEDIATION SYSTEM","1310 WEST FAIRWAY DRIVE","NOGALES","AZ",31.39129,-110.96153,96.682,"Yes","Significant Violation",12,"NA",2,1,01/05/2012,0,"Y"
"CA0000084517","110000610349","SAFETY-KLEEN SYSTEMS, INC.","6000 88TH STREET","SACRAMENTO","CA",38.516757,-121.377665,67.435,"No","No Violation",4,"262.A, 262.B, 264.B, NA, XXS",2,2,05/19/2015,1,"Y"
"CA0210020780","110000912497","USARMY SACRAMENTO DEPOT","FRUITRIDGE RD","SACRAMENTO","CA",38.52028,-121.3958,68.52,"No","No Violation",0,"NA",0,0,09/16/1992,0,"Y"
"CA1570024504","110000908466","EDWARDS AIR FORCE BASE","446 N. ROSAMOND BLVD","EDWARD","CA",34.94943,-117.8857,53.712,"No","No Violation",1,"260.B, NA",5,1,11/20/2014,0,"Y"
"CA1800090010","110033145763","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION - SANTA SUSANA FIELD LABORATORY","5800 WOOLSEY CANYON ROAD","CANOGA PARK","CA",34.2367,-118.6676,31.966,"No","No Violation",0,"NA",4,0,03/11/1991,0,"Y"
"CA2170023152","110000511456","NAWS, CHINA LAKE","1 ADMINISTRATION CR, STOP 1003","CHINA LAKE","CA",35.657,-117.662,31.393,"Yes","Significant Violation",12,"260.B, 261.A, 262.A, 264.B, 273.A, 273.C, NA",8,3,03/04/2016,1,"Y"
"CA2890012584","110000610358","LAWRENCE LIVERMORE NATIONAL LABORATORY","7000 EAST AVENUE","LIVERMORE","CA",37.68806,-121.7047,34.743,"No","No Violation",4,"262.A, 262.B, 262.C, NA",14,1,09/17/2013,1,"Y"
"CA2890012923","110000621471","US DOE SANDIA NATIONAL LABORATORIES","7011 EAST AVE MS 9902","LIVERMORE","CA",37.67978,-121.71074,34.332,"No","No Violation",2,"262.A, NA",10,0,05/09/2011,0,"Y"
"CA2890090002","110000781468","LAWRENCE LIVERMORE LAB SITE 300","CORRAL HOLLOW ROAD","TRACY","CA",37.6443,-121.57666,27.273,"Yes","Significant Violation",5,"262.A, 262.C, NA",3,1,09/30/2015,0,"Y"
"CA3570090438","110043979371","USAF GEORGE AFB SUPERIOR VALLEY RANGE","S13 14 24 T305 R46E","CHINA LAKE","CA",35.287806,-117.10001,0,"No","No Violation",0,"NA",0,0,,0,"Y"
"CA3890090001","110000868339","SANTA SUSANA FIELD LABORATORY RMHF","5800 WOOLSEY CANYON RD","SIMI HILLS","CA",34.2367,-118.6676,31.966,"No","No Violation",0,"NA",1,0,03/20/2001,0,"Y"
"CA4170024414","110000757645","CALIFORNIA RESOURCES ELK HILLS LLC","28590 HWY 119","TUPMAN","CA",35.24084,-119.36056,21.491,"No","No Violation",1,"NA",1,0,06/03/2011,0,"Y"
"CA4570024345","110000830815","USAF NORTON AFB","305 S TIPPECANOE AVE","SAN BERNARDINO","CA",34.09806,-117.2372,81.157,"No","No Violation",0,"NA",2,0,03/16/2005,0,"Y"
"CA4890008986","110055718709","LAWRENCE BERKELEY NATIONAL LAB","1 CYCLOTRON ROAD","BERKELEY","CA",37.877117,-122.249379,43.901,"No","No Violation",4,"262.A, 262.C, 265.I, NA",12,2,11/17/2015,0,"Y"
"CA4971520834","110002332985","DEFENSE DISTRIBUTION DEPOT SAN JOAQUIN - TRACY SITE","25600 S. CHRISMAN RD","TRACY","CA",37.71528,-121.3911,59.641,"No","No Violation",2,"262.A, 262.C, 262.D, NA",1,1,05/14/2015,0,"Y"
"CA5210020843","110041960722","SIERRA ARMY DEPOT","74 CURRANT STREET","SIERRA ARMY DEPOT","CA",40.14595,-120.12019,58.442,"No","No Violation",0,"NA",1,0,05/11/2006,0,"Y"
"CA5213790038","110041960731","COMMANDER NTC & FORT IRWIN","602 BARSTOW RD & 5TH STREET","FORT IRWIN","CA",35.396362,-116.629061,0,"No","No Violation",0,"NA",0,0,02/19/1997,0,"Y"
"CA5570024575","110002146767","TRAVIS AIR FORCE BASE","744 COLLINS DRIVE","TRAVIS AFB","CA",38.26445,-121.9332,58.671,"Yes","Significant Violation",4,"260.B, 262.A, 262.B, 264.B, 264.E, 270.C, NA",5,3,04/12/2016,0,"Y"
"CA6170023208","110001138135","MARINE CORPS AIR STATION, EL TORO","MCAS EL TORO","EL TORO","CA",33.67666,-117.7176,44.86,"No","No Violation",0,"NA",0,0,05/20/1997,0,"Y"
