rcra,Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,un,hazWasteDesc,units_final,phase,totalQuantityinShipment,mgmt,ExpectedManagementMethod,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,input,filename,latitude,longitude
000568033 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568055 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568129 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568167 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568430 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568446 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000568450 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000569903 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570009 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570101 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570182 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570406 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570439 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000570500 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
00057880 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H129,Other treatment,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000588554 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000589524 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000589527 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000589610 JJK,2007,E7A0109,"PULIDOS INDUSTRIALES, SA DE CV (PLANTA II)","BLVD ALIVIO NTE 2DO, TIUJANA",TIJUANA,BAJA CALIFORNIA,MEXICO,32.54827,-116.90109,UN3077,"Environmentally hazardous substances, solid, n.o.s.",l,liquids,15291,H039,Other recovery,AZD980735500,WORLD RESOURCES COMPANY,8113 WEST SHERMAN STREET,TOLLESON,AZ,85353,Maira,,33.4396133,-112.2355118
000487097 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3082,"Environmentally hazardous substances, liquid, n.o.s.",l,liquids,568,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487097 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3264,"Corrosive liquid, acidic, inorganic, n.o.s.",l,liquids,1893,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487097 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3266,"Corrosive liquid, basic, inorganic, n.o.s.",l,liquids,946,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487097 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3082,"Environmentally hazardous substances, liquid, n.o.s.",l,liquids,379,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487097 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3082,"Environmentally hazardous substances, liquid, n.o.s.",l,liquids,1325,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487100 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,1893,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487100 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,11356,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487102 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,4921,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487102 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,1703,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487102 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,6814,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487103 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,4732,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487103 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,5867,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487105 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,265,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487105 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487105 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487105 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,5678,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487133 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,114,H129,Other treatment,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487133 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,114,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487133 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN3321,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",l,liquids,114,H129,Other treatment,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487133 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN1993,"Flammable liquids, n.o.s.",l,liquids,19,H129,Other treatment,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487133 FLE,2007,E5A9135,AECL-CHALK RIVER LABS,1 PLANT ROAD,CHALK RIVER,ONTARIO,CANADA,46.018495,-77.449135,UN1993,"Flammable liquids, n.o.s.",l,liquids,1893,H050,Energy recovery,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487213 FLE,2007,E2A9142,ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,ONTARIO,CANADA,43.8151782,-79.0609142,UN1993,"Flammable liquids, n.o.s.",l,liquids,379,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487213 FLE,2007,E2A9142,ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,ONTARIO,CANADA,43.8151782,-79.0609142,UN3082,"Environmentally hazardous substances, liquid, n.o.s.",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487213 FLE,2007,E2A9142,ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,ONTARIO,CANADA,43.8151782,-79.0609142,UN2910,"Radioactive material, excepted package-limited quantity of material",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487213 FLE,2007,E2A9142,ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,ONTARIO,CANADA,43.8151782,-79.0609142,UN2910,"Radioactive material, excepted package-limited quantity of material",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000487213 FLE,2007,E2A9142,ONTARIO POWER GENERATOR PICKERING NUCLEAR,1675 MONTGOMERY PARK,PICKERING,ONTARIO,CANADA,43.8151782,-79.0609142,UN1993,"Flammable liquids, n.o.s.",l,liquids,189,H040,Incineration,TND982109142,DIVERSIFIED SCIENTIFIC SERVICES INC,657 GALLAHER ROAD,KINGSTON,TN,37763,Maira,,35.8761139,-84.4378128
000174075 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,86330,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174076 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,86288,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174077 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,89710,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174078 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,89722,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174079 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,82741,,Not available,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174080 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,83612,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174081 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,86288,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174082 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,85989,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
000174083 CEX,2007,E4A2347,SAFETY-KLEEN,3 LAFARGE ROAD,ST. CONSTANT,QUEBEC,CANADA,45.3404,-73.52347,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,90486,H061,Fuel blending,KSD980633259,SYSTECH ENVIRONMENTAL,1420 CEMENT ROAD,FREDONIA,KS,66736,Maira,,37.5156317,-95.8243324
